Job_Title,Department,Min_Pay,Max_Pay,Min_Hours,Max_Hours,Job_Desc,Address,Phone_Number,Employer
Student Assistant,Student Activities,8.50,10.00,10,14,"We are seeking a student employee for the following duties; Listen and  transcribe classroom conversations and interviews.  For more info, please contact Vanessa Enrizo Telephone number:  (305) 284-3413 E-mail: l.barthcohen@miami.edu  ","319F Merrick        (305)284-4341 Ext. School of Education - HR -STA 5202 University Dr Coral Gables, FL 33146",(305)284-4341,"MS Kathy Raymond, Department of MEDICINE"
Undergraduate research assistant,Schools and Libraries,10.00,10.00,10,14,"Undergraduate Research Assistant needed for the following duties;  Collection of water samples at the University Village UM Autonomous  Net-Zero Water project, delivery to Engineering, and/or laboratory analysis  of the water samples, as a part of a student team. Students will be trained  and will receive valuable hands-on experience. Some chemical lab experience  necessary for water analysis but not for sampling tasks. Other tasks as  needed may include help with website maintenance and outreach.  Please email: jenglehardt@miami.edu www.miami.edu/netzerowaterdorm ","321 McArthur Eng	 CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-5557 Ext.,"CIVIL, ARCHITECTURAL & ENV ENG"
Undergraduate research assistant,Other,10.00,10.00,10,14,"Undergraduate Research Assistant needed for the following duties;  Collection of water samples at the University Village UM Autonomous  Net-Zero Water project, delivery to Engineering, and/or laboratory analysis  of the water samples, as a part of a student team. Students will be trained  and will receive valuable hands-on experience. Some chemical lab experience  necessary for water analysis but not for sampling tasks. Other tasks as  needed may include help with website maintenance and outreach.  Please email: jenglehardt@miami.edu www.miami.edu/netzerowaterdorm ","321 McArthur Eng	 CoE - Civil Arch & Env Enginee 1251 Memorial Dr Coral Gables, FL 33146 2509",(305)284-5557 Ext.,"CIVIL, ARCHITECTURAL & ENV ENG"
Videographer/Video Editor,Administrative Offices,9.00,12.00,10,14,"Student employee needed for the following duties; Filming and editing  filmed theatrical productions. Digitizing VHS tapes, rendering, and  uploading to a video-streaming server. database entry.  Filming in the evenings and week-ends once a month.  Spanish-English bilingual preferred.  Please contact Lillian Manzor Telephone number: (305) 284-5585  E-mail: lmanzor@miami.edu ","210.07 Merrick	 College of A&S -FAC 5202 University Dr Coral Gables, FL 33146",(305)284-4858 Ext.7314,"DR Lillian Manzor, Department of MODERN LANGUAGES & LITERATURES"
Help desk technician,Schools and Libraries,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to  general diagnosis,virus scans,simple malware & spyware removal, configuring  access to the Wireless Canes & Canenet networks,Peer to Peer software  detection & removal,program installation/removal.Must learn service desk &  have Mac & PC experience.Assist customer with incoming / outgoing faxing &  have basic knowledge in Microsoft applications. Customer service is an  essential part of being a CaneNet Connection employee. Please send your  Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC	 Information Technology Coral Gables, FL 33146",(305)284-8889 Ext.,INFORMATION SYSTEMS
help desk technician,Other,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to  general diagnosis,virus scans,simple malware & spyware removal, configuring  access to the Wireless Canes & Canenet networks,Peer to Peer software  detection & removal,program installation/removal.Must learn service desk &  have Mac & PC experience.Assist customer with incoming / outgoing faxing &  have basic knowledge in Microsoft applications. Customer service is an  essential part of being a CaneNet Connection employee. Please send your  Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC	 Information Technology Coral Gables, FL 33146",(305)284-8889 Ext.,INFORMATION SYSTEMS
Student Library Assistant,Student Activities,8.25,8.25,10,14,"Assist in routine records maintenance for all different types of materials;  search in the Catalog and OCLC, export/overlay records into the Catalog,  and distribute library materials accordingly; locate books in the stacks  so that CMS staff can resolve anomalies in the existing bibliographic/item  records; barcode books and add the number to the item records; aid CMS  staff with special projects; other duties as assigned.  Please contact Lisa Wheeler Telephone number: (305) 284-1827  E-mail: ljw20@miami.edu ","301E Richter Library, Library - Catalog & Metadata, 1300 Memorial Dr, Coral Gables FL 33146 2508",3052481827,"MS Lisa Wheeler, Department of RICHTER LIBRARY"
Student Library Assistant,Administrative Offices,8.25,9.00,10,14,"Assist in routine records maintenance for all different types of materials;  search in the Catalog and OCLC, export/overlay records into the Catalog,  and distribute library materials accordingly; locate books in the stacks  so that CMS staff can resolve anomalies in the existing bibliographic/item  records; barcode books and add the number to the item records; aid CMS  staff with special projects; other duties as assigned.  Please contact Lisa Wheeler Telephone number: (305) 284-1827  E-mail: ljw20@miami.edu","301E Richter Library	 Library - Cataloging & Metadat 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-1827 Ext.,"MS Lisa Wheeler, Department of RICHTER LIBRARY"
Student Library Assistant,Schools and Libraries,8.25,8.25,10,14,"Assist in routine records maintenance for all different types of materials;  search in the Catalog and OCLC, export/overlay records into the Catalog,  and distribute library materials accordingly; locate books in the stacks  so that CMS staff can resolve anomalies in the existing bibliographic/item  records; barcode books and add the number to the item records; aid CMS  staff with special projects; other duties as assigned.  Please contact Lisa Wheeler Telephone number: (305) 284-1827  E-mail: ljw20@miami.edu ","301E Richter Library	 Library - Cataloging & Metadat 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-1827 Ext.,"RICHTER LIBRARY, Lisa Wheeler"
Student Library Assistant,Other,8.25,8.25,10,14,"Assist in routine records maintenance for all different types of materials;  search in the Catalog and OCLC, export/overlay records into the Catalog,  and distribute library materials accordingly; locate books in the stacks  so that CMS staff can resolve anomalies in the existing bibliographic/item  records; barcode books and add the number to the item records; aid CMS  staff with special projects; other duties as assigned.  Please contact Lisa Wheeler Telephone number: (305) 284-1827  E-mail: ljw20@miami.edu ","301E Richter Library	 Library - Cataloging & Metadat 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-1827 Ext.,"RICHTER LIBRARY, Lisa Wheeler"
CHC Library and Archives Student Assista,Student Activities,8.50,8.50,10,14,"This position include: paging and re-shelving materials, making photocopies, etc. Supporting routine processing of books, periodicals, or archival materials to include re-housing and labeling containers, maintaining inventories, classifying materials. Clerical support such as faxing, answering phones, filing, and data entry. Students applying for this position are required to have bilingual skills (English and Spanish). Knowledge of Microsoft software Word, Excel, Access, etc. Please contact Meiyolet at meimendez@miami.edu Telephone # 305-284-5854","232 Richter Library, Library - Cuban Heritage Colle, 1300 Memorial Drive, Coral Gables, FL 33146 2508",3052844900,"MS Meiyolet Mendez, Department of RICHTER LIBRARY"
CHC Library and Archives Student Assistant,Administrative Offices,8.50,8.50,10,14,"This position include: paging and re-shelving materials, making photocopies  , etc. Supporting routine processing of books, periodicals, or archival  materials to include re-housing and labeling containers, maintaining  inventories, classifying materials. Clerical support such as faxing,  answering phones, filing, and data entry. Students applying for this  position are required to have bilingual skills (English and Spanish).  Knowledge of Microsoft software Word, Excel, Access, etc.  Please contact Meiyolet at meimendez@miami.edu Telephone # 305-284-5854 ","232 Richter Library Library - Cuban Heritage Colle 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4900,"MS Meiyolet Mendez, Department of RICHTER LIBRARY"
Office Assistant,Administrative Offices,11.00,11.00,10,14,"Student employee to provide administrative support to ensure the success  of programming designed to foster a pro bono ethic. Student will be engaged  in development of flyers, e-newsletters, promotional materials, and special  events. Student should have familiarity with design programs including  Publisher and/or Adobe and be interested in online research willing to  engage in special projects on public interest law. Must have strong writing  and computer skills for MS Office Word/Excel and customer service skills.  Must have Federal Work Study. Email Elvira Vilaboy evilaboy@law.miami.edu ","B462 Daner Libr Wing (B) School of Law - Public Interes 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-2599 Ext.,"MR Larry Adams, Department of HUSSMAN INSTITUTE FOR HUMAN GE"
Office Assistant,Student Activities,8.25,11.00,10,14,"Student employee to provide administrative support to ensure the success of programming designed to foster a pro bono ethic. Student will be engaged in development of flyers, e-newsletters, promotional materials, and special events. Student should have familiarity with design programs including Publisher and/or Adobe and be interested in online research willing to engage in special projects on public interest law. Must have strong writing and computer skills for MS Office Word/Excel and customer service skills. Must have Federal Work Study. Email Elvira Vilaboy evilaboy@law.miami.edu","B462 Daner Libr Wing (B), School of Law - Public Interes, 1311 Miller Dr, Coral Gables, FL 33146 2300",3052842599,"MRS Elvira Vilaboy, Department of SCHOOL OF LAW"
Office Assistant,Schools and Libraries,10.00,10.00,10,14,"Student employee to provide administrative support to ensure the success  of programming designed to foster a pro bono ethic. Student will be engaged  in development of flyers, e-newsletters, promotional materials, and special  events. Student should have familiarity with design programs including  Publisher and/or Adobe and be interested in online research willing to  engage in special projects on public interest law. Must have strong writing  and computer skills for MS Office Word/Excel and customer service skills.  Must have Federal Work Study. Email Elvira Vilaboy evilaboy@law.miami.edu","B462 Daner Libr Wing (B)	 School of Law - Public Interes 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-2599 Ext.,"MS Anouk Gachelin, Department of MEDICINE"
Office Assistant,Other,8.05,11.00,10,14,"Student employee to provide administrative support to ensure the success  of programming designed to foster a pro bono ethic. Student will be engaged  in development of flyers, e-newsletters, promotional materials, and special  events. Student should have familiarity with design programs including  Publisher and/or Adobe and be interested in online research willing to  engage in special projects on public interest law. Must have strong writing  and computer skills for MS Office Word/Excel and customer service skills.  Must have Federal Work Study. Email Elvira Vilaboy evilaboy@law.miami.edu","B462 Daner Libr Wing (B)	 School of Law - Public Interes 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-2599 Ext.,"MS Frances Arcay, Department of OFFICE OF FINANCIAL ASSISTANCE"
Office Assistant,Student Activities,8.25,11.00,10,14,"Office Assistant needed for the following duties; Answer incoming calls, Campaign call, filing, scanning, creating excel spreadsheets, answering office emails, scan incoming documents and assist with front desk duties. Experience is not needed - we are willing to train all those who are hired Must have Federal work study or Miami Commitment. If interested, please contact Frances Arcay Telephone number: 305-284-6430 E-mail: f.arcay@miami.edu Work Schedule: Mon 11am-1pm & 1pm-3pm Tue & Thur 8:30am-11am Wed 11am-1pm 1pm-3pm & 3pm-5pm Fri 1pm-3pm & 3pm-5pm","2275 Whitten UC, Enrollment Mgmt - Financial As, 1306 Stanford Dr, Coral Gables, FL 33146",3052845212 Ext.3546,"MRS Elvira Vilaboy, Department of SCHOOL OF LAW"
Office Assistant,Administrative Offices,11.00,11.00,10,14,"Office Assistant needed for the following duties; Answer incoming calls,  Campaign call, filing, scanning, creating excel spreadsheets, answering  office emails, scan incoming documents and assist with front desk duties.  Experience is not needed - we are willing to train all those who are hired  Must have Federal work study or Miami Commitment.  If interested, please contact Frances Arcay Telephone number: 305-284-6430  E-mail: f.arcay@miami.edu Work Schedule: Mon 11am-1pm & 1pm-3pm Tue &  Thur 8:30am-11am Wed 11am-1pm 1pm-3pm & 3pm-5pm Fri 1pm-3pm & 3pm-5pm ","2275 Whitten UC Enrollment Mgmt - Financial As 1306 Stanford Dr Coral Gables, FL 33146",(305)284-5212 Ext.3546,"MS Ana Silvera, Department of CONTINUING MEDICAL EDUCATION"
Help Desk Technician,Schools and Libraries,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to  general diagnosis,virus scans,simple malware & spyware removal, configuring  access to the Wireless Canes & Canenet networks,Peer to Peer software  detection & removal,program installation/removal.Must learn service desk &  have Mac & PC experience.Assist customer with incoming / outgoing faxing &  have basic knowledge in Microsoft applications. Customer service is an  essential part of being a CaneNet Connection employee. Please send your  Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC Information Technology Coral Gables, FL 33146 ",(305)284-8889 Ext.,"MR Bryan Vazquez, Department of INFORMATION SYSTEMS"
Help desk technician,Student Activities,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to general diagnosis,virus scans,simple malware & spyware removal, configuring access to the Wireless Canes & Canenet networks,Peer to Peer software detection & removal,program installation/removal.Must learn service desk & have Mac & PC experience.Assist customer with incoming / outgoing faxing & have basic knowledge in Microsoft applications. Customer service is an essential part of being a CaneNet Connection employee. Please send your Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC, Information Technology, Coral Gables, FL 33146",3052848889,INFORMATION SYSTEMS
help desk technician,Other,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to  general diagnosis,virus scans,simple malware & spyware removal, configuring  access to the Wireless Canes & Canenet networks,Peer to Peer software  detection & removal,program installation/removal.Must learn service desk &  have Mac & PC experience.Assist customer with incoming / outgoing faxing &  have basic knowledge in Microsoft applications. Customer service is an  essential part of being a CaneNet Connection employee. Please send your  Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC Information Technology Coral Gables, FL 33146 ",(305)284-8889 Ext.,INFORMATION SYSTEMS
Help Desk Technician,Administrative Offices,9.00,9.00,10,14,"Assist customers with computer related issues.These include/not limited to  general diagnosis,virus scans,simple malware & spyware removal, configuring  access to the Wireless Canes & Canenet networks,Peer to Peer software  detection & removal,program installation/removal.Must learn service desk &  have Mac & PC experience.Assist customer with incoming / outgoing faxing &  have basic knowledge in Microsoft applications. Customer service is an  essential part of being a CaneNet Connection employee. Please send your  Fall Schedule with your resume to b.vazquez@miami.edu (03) ","S158B.04 Whitten UC Information Technology Coral Gables, FL 33146",(305)284-8889 Ext.,"MR Bryan Vazquez, Department of INFORMATION SYSTEMS"
ILL/Reserves Student Assistant,Administrative Offices,8.50,8.50,10,14,"Process materials received from lending libraries, prepare materials for  delivery to patrons, and shelve materials in Circulation area. Search and  retrieve materials (books, periodicals, special format items) within the  Stacks area, using Library of Congress call number system. Pickup materials  (returns) left in Circulation area by patrons, process & prepare materials  to be shipped to lending libraries. Pack and Ship materials to other  libraries. Filing, Scanning, & photocopy. Other duties as assigned.  John Sandoval E-mail: Ill.lending@miami.edu or jsandoval1@miami.edu","101.04 Richter Library	 Otto G. Richter Library 15 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-6102 Ext.,"MR John Sandoval, Department of RICHTER LIBRARY"
ILL/Reserves Student Assistant,Student Activities,8.05,8.50,10,14,"Process materials received from lending libraries, prepare materials for  delivery to patrons, and shelve materials in Circulation area. Search and  retrieve materials (books, periodicals, special format items) within the  Stacks area, using Library of Congress call number system. Pickup materials  (returns) left in Circulation area by patrons, process & prepare materials  to be shipped to lending libraries. Pack and Ship materials to other  libraries. Filing, Scanning, & photocopy. Other duties as assigned.  John Sandoval E-mail: Ill.lending@miami.edu or jsandoval1@miami.edu  ","101.04 Richter Library, Otto G. Richter Library 15 -ST, 1300 Memorial Dr, Coral Gavles, FL 33146 2508",3052846102,"RICHTER LIBRARY, John Sandoval"
ILL/Reserves Student Assistant,Schools and Libraries,8.50,8.50,10,14,"Process materials received from lending libraries, prepare materials for  delivery to patrons, and shelve materials in Circulation area. Search and  retrieve materials (books, periodicals, special format items) within the  Stacks area, using Library of Congress call number system. Pickup materials  (returns) left in Circulation area by patrons, process & prepare materials  to be shipped to lending libraries. Pack and Ship materials to other  libraries. Filing, Scanning, & photocopy. Other duties as assigned.  John Sandoval E-mail: Ill.lending@miami.edu or jsandoval1@miami.edu ","101.04 Richter Library	 Otto G. Richter Library 15 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-6102 Ext.,"MR John Sandoval, Department of RICHTER LIBRARY"
ILL/Reserves Student Assistant,Other,8.05,8.50,10,14,"Process materials received from lending libraries, prepare materials for  delivery to patrons, and shelve materials in Circulation area. Search and  retrieve materials (books, periodicals, special format items) within the  Stacks area, using Library of Congress call number system. Pickup materials  (returns) left in Circulation area by patrons, process & prepare materials  to be shipped to lending libraries. Pack and Ship materials to other  libraries. Filing, Scanning, & photocopy. Other duties as assigned.  John Sandoval E-mail: Ill.lending@miami.edu or jsandoval1@miami.edu ","101.04 Richter Library	 Otto G. Richter Library 15 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-6102 Ext.,"RICHTER LIBRARY, John Sandoval"
Amigos Office Assistant,Administrative Offices,10.00,10.00,10,14,"Student employee will be working with sensitive information about member-  ship, accounts, and expenses of organization; communicate effectively  with the Board and membership; prepare materials for quarterly meetings.  In addition, position will also provide clerical support for the Chair  and their assistants as assigned, including photocopying, preparing  deposits, drafting and sending correspondence, assisting with the  preparation of reports, and other duties. Bilingual (English and Spanish)  preferred. Please contact Annie Sansone E-mail: a.sansone@umiami.edu","230 Richter Library	 Library - Cuban Heritage Colle 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4008 Ext.,"MS Annie Sansone-Martinez, Department of RICHTER LIBRARY"
Amigos Office Assistant,Student Activities,10.00,10.00,10,14,"Student employee will be working with sensitive information about member-  ship, accounts, and expenses of organization; communicate effectively  with the Board and membership; prepare materials for quarterly meetings.  In addition, position will also provide clerical support for the Chair  and their assistants as assigned, including photocopying, preparing  deposits, drafting and sending correspondence, assisting with the  preparation of reports, and other duties. Bilingual (English and Spanish)  preferred. Please contact Annie Sansone E-mail: a.sansone@umiami.edu ","230 Richter Library         Library - Cuban Heritage Colle 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4008,"MS Annie Sansone-Martinez, Department of RICHTER LIBRARY"
Clerical,Administrative Offices,12.50,12.50,10,14,"Student employee needed for the following duties; filing, answer phone  calls, reception and customer service.  Spanish speaking a plus but not required.  If interested, please contact Jackie Ojeda:E-mail: j.ojeda2@miami.edu ","201A Orovitz Education & Psychological Stud 1507 Levante Ave Coral Gables, FL 33146 2416",(305)284-5545 Ext.,"MS Off Campus Program, Department of SYLVESTER COMPREHENSIVE CANCER"
Clerical,Schools and Libraries,12.50,12.50,10,14,"Student employee needed for the following duties; filing, answer phone  calls, reception and customer service.  Spanish speaking a plus but not required.  If interested, please contact Jackie Ojeda:E-mail: j.ojeda2@miami.edu","201A Orovitz        Education & Psychological Stud 1507 Levante Ave Coral Gables, FL 33146 2416",(305)284-5545 Ext,"MS Off Campus Program, Department of SYLVESTER COMPREHENSIVE CANCER"
Clerical,Other,8.05,12.50,10,14,"Student employee needed for the following duties; filing, answer phone  calls, reception and customer service.  Spanish speaking a plus but not required.  If interested, please contact Jackie Ojeda:E-mail: j.ojeda2@miami.edu","201A Orovitz        Education & Psychological Stud 1507 Levante Ave Coral Gables, FL 33146 2416",(305)284-5545 Ext,"MS Lorna Sanchez, Department of Neurological Surgery"
Student Assistant,Administrative Offices,12.00,12.00,10,14,"Student employee needed for the following duties; Shelf-reading, shelving  books and keeping stacks in good order. Other duties as assigned.  Must be able to push 50lbs. Must have Federal Work Study Funds and work the  hours indicated. Please contact Maria Serrano Telephone number:  305-284-3411 E-mail: mserrano@law.miami.edu ","G171 Law Library (G) School of Law - Library -STA 1311 Miller Dr Coral Gables, FL 33146",(305)284-3411 Ext.,"MS Maria Riedmiller, Department of VP REAL ESTATE & FACILITIES"
student assistant,Schools and Libraries,10.00,10.00,10,14,"Student employee needed for the following duties; Shelf-reading, shelving  books and keeping stacks in good order. Other duties as assigned.  Must be able to push 50lbs. Must have Federal Work Study Funds and work the  hours indicated. Please contact Maria Serrano Telephone number:  305-284-3411 E-mail: mserrano@law.miami.edu ","G171 Law Library (G)	 School of Law - Library -STA 1311 Miller Dr Coral Gables, FL 33146",(305)284-3411 Ext.,"SCHOOL OF EDUCATION, Donner Valle"
Student Assistant,Student Activities,8.50,9.09,10,14,"Student employee needed for the following duties; Shelf-reading, shelving books and keeping stacks in good order. Other duties as assigned. Must be able to push 50lbs. Must have Federal Work Study Funds and work the hours indicated. Please contact Maria Serrano Telephone number: 305-284-3411 E-mail: mserrano@law.miami.edu","G171 Law Library (G), School of Law - Library -STA, 1311 Miller Dr, Coral Gables, FL 33146",3052843411,"MS Kathy Raymond, Department of MEDICINE"
Student assistant,Other,8.05,12.00,10,14,"Student employee needed for the following duties; Shelf-reading, shelving  books and keeping stacks in good order. Other duties as assigned.  Must be able to push 50lbs. Must have Federal Work Study Funds and work the  hours indicated. Please contact Maria Serrano Telephone number:  305-284-3411 E-mail: mserrano@law.miami.edu ","G171 Law Library (G)	 School of Law - Library -STA 1311 Miller Dr Coral Gables, FL 33146",(305)284-3411 Ext.,"LAW LIBRARY, Maria Serrano"
Security Assistant,Housing and Dining,10.50,10.50,10,14,"Security assistant needed for the following duties; Screening and verifying residency all individuals by checking their Cane Card or other picture ID. Monitoring the fire alarm and door prop panels. Managing emergency situations. Maintaining accurate and legible security Activity Logs, Guest Logs, & Failure to Show ID logs, Assisting in emergencies as needed. Answering all telephone calls. Need to attend Security Assistant training programs & meetings. Please go to https://miami.erezlife.com/staffapp/ application must be fully completed & submitted no later than SUNDAY 10/18","153 Eaton Res College, STU AFFRS - Housing-Res Life - 1211 Dickinson Dr, Coral Gables, FL 33146 2501",(305)284-4305,"Mr Adam Lynch, Department of HOUSING & RESIDENTIAL LIFE"
office assistant,Medical Campus,9.10,9.10,10,15,"The division for Continuing Medical Education is searching for two office  assistants to help review emails, process tasks by category, save documents  onto a shared drive, process pre- and post-sessions, input information to  tracker, and other office tasks. For more information please contact Ana  Silvera at (305) 243-6716 or email her at ajs179@med.miami.edu.  Only candidates with a Federal Work Study Award will be considered. ","1026 Jackson Towers         Continuing Medical Education - 1500 NW 12th Ave Miami, FL 33136 1051",(305)243-6717 Ext.,"LAW SCHOOL, Elvira Vilaboy"
Office Assistant,Medical Campus,9.00,9.10,10,15,"The division for Continuing Medical Education is searching for two office  assistants to help review emails, process tasks by category, save documents  onto a shared drive, process pre- and post-sessions, input information to  tracker, and other office tasks. For more information please contact Ana  Silvera at (305) 243-6716 or email her at ajs179@med.miami.edu.  Only candidates with a Federal Work Study Award will be considered. ","1026 Jackson Towers         Continuing Medical Education - 1500 NW 12th Ave Miami, FL 33136 1051",(305)243-6717 Ext.,"MRS Marilyn deNarvaez, Department of OFFICE OF THE DEAN, SCHOOL OF"
Office Assistant,Medical Campus,9.00,9.10,10,15,"The division for Continuing Medical Education is searching for two office  assistants to help review emails, process tasks by category, save documents  onto a shared drive, process pre- and post-sessions, input information to  tracker, and other office tasks. For more information please contact Ana  Silvera at (305) 243-6716 or email her at ajs179@med.miami.edu.  Only candidates with a Federal Work Study Award will be considered. ","1026 Jackson Towers         Continuing Medical Education - 1500 NW 12th Ave Miami, FL 33136 1051",(305)243-6717 Ext.,"MRS Marilyn deNarvaez, Department of OFFICE OF THE DEAN, SCHOOL OF"
Student Assistant,Administrative Offices,10.00,10.00,10,19,"Student Employee needed for the following duties; assisting faculty during  his outpatient clinic every Tuesday/ Friday and assisting with phone  calls for about 2-4 hours on other days. Pre-Med, MPH and nursing majors  would be preferred.  Please Contact: Sandra Dostaler Telephone Number: 305-243-4615  Email: sdostaler@miami.edu ","1101 Jackson Towers	 Hepatology 2 -STA 1500 NW 12th Ave Miami, FL 33136 1051",(305)243-1020 Ext.,"MS Andrea Rachelle Santos, Department of OPHTHALMOLOGY"
Digital Production Student Assistant,Schools and Libraries,9.00,9.00,10,20,"The Digital Production Student Assistant will be responsible for digitizing  Library materials, and for quality checking digitized files against  established quality control guidelines. Applicants will be working with  the following software: Adobe Photoshop, Epson Scan, Adobe Premiere Pro,  Windows 7, Mac OS X. Applicants must display great attention to detail  when managing and renaming files and must also have excellent color  perception. Any kind of scanning or digital imaging experience is  preferred. Please contact Mark Buchholz E-mail: mbuchholz@miami.edu","101 Richter Library	 Otto G. Richter Library 19 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4184 Ext.,"RICHTER LIBRARY, Mark Buchholz"
Digital Production Student Assistant,Other,9.00,9.00,10,20,"The Digital Production Student Assistant will be responsible for digitizing  Library materials, and for quality checking digitized files against  established quality control guidelines. Applicants will be working with  the following software: Adobe Photoshop, Epson Scan, Adobe Premiere Pro,  Windows 7, Mac OS X. Applicants must display great attention to detail  when managing and renaming files and must also have excellent color  perception. Any kind of scanning or digital imaging experience is  preferred. Please contact Mark Buchholz E-mail: mbuchholz@miami.edu","101 Richter Library	 Otto G. Richter Library 19 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4184 Ext.,"RICHTER LIBRARY, Mark Buchholz"
Digital Production Student Assistant,Student Activities,9.00,9.00,10,20,"The Digital Production Student Assistant will be responsible for digitizing Library materials, and for quality checking digitized files against established quality control guidelines. Applicants will be working with the following software: Adobe Photoshop, Epson Scan, Adobe Premiere Pro, Windows 7, Mac OS X. Applicants must display great attention to detail when managing and renaming files and must also have excellent color perception. Any kind of scanning or digital imaging experience is preferred. Please contact Mark Buchholz E-mail: mbuchholz@miami.edu","101 Richter Library, Otto G. Richter Library 19 -ST, 1300 Memorial Dr, Coral Gables, FL 33146 2509",3052844184,"MR Mark Buchholz, Department of RICHTER LIBRARY"
Digital Production Student Assistant,Administrative Offices,9.00,9.00,10,20,"The Digital Production Student Assistant will be responsible for digitizing  Library materials, and for quality checking digitized files against  established quality control guidelines. Applicants will be working with  the following software: Adobe Photoshop, Epson Scan, Adobe Premiere Pro,  Windows 7, Mac OS X. Applicants must display great attention to detail  when managing and renaming files and must also have excellent color  perception. Any kind of scanning or digital imaging experience is  preferred. Please contact Mark Buchholz E-mail: mbuchholz@miami.edu","101 Richter Library Otto G. Richter Library 19 -ST 1300 Memorial Dr Coral Gables, FL 33146 2508",(305)284-4184 Ext.,"MR Mark Buchholz, Department of RICHTER LIBRARY"
Clinical Office Assistant,Administrative Offices,11.00,11.00,10,20,"Student will provide clerical and general office support for staff on the  Ocular Studies. The incumbant should be organized, detail oriented, and  feel comfortable working in a team environment. Responsabilities, will  include, gathering information for the study, preparing charts, assisting  with correspondence and Maintaining the database, charts and files.  This position is located on the Medical Campus.  If interested, please contact Larry Adams Telephone number: 305-243-4018  E-mail: ladams4@med.miami.edu (02) ","330 Biomed Resrch Bldg MSOM - Human Genetics 7 -STA 1501 NW 10th Ave Miami, FL 33136 1012",(305)243-4018 Ext.,"MR Larry Adams, Department of HUSSMAN INSTITUTE FOR HUMAN GE"
Clinical Office Assistant,Schools and Libraries,11.00,11.00,10,20,"Student will provide clerical and general office support for staff on the  Ocular Studies. The incumbant should be organized, detail oriented, and  feel comfortable working in a team environment. Responsabilities, will  include, gathering information for the study, preparing charts, assisting  with correspondence and Maintaining the database, charts and files.  This position is located on the Medical Campus.  If interested, please contact Larry Adams Telephone number: 305-243-4018  E-mail: ladams4@med.miami.edu (02) ","330 Biomed Resrch Bldg	 MSOM - Human Genetics 7 -STA 1501 NW 10th Ave Miami, FL 33136 1012",(305)243-4018 Ext.,"MR Larry Adams, Department of HUSSMAN INSTITUTE FOR HUMAN GE"
Clinical Office Assistant,Medical Campus,11.00,11.00,10,20,"Student will provide clerical and general office support for staff on the  Ocular Studies. The incumbant should be organized, detail oriented, and  feel comfortable working in a team environment. Responsabilities, will  include, gathering information for the study, preparing charts, assisting  with correspondence and Maintaining the database, charts and files.  This position is located on the Medical Campus","330 Biomed Resrch Bldg        MSOM - Human Genetics 7 -STA 1501 NW 10th Ave Miami, FL 33136 1012",(305)243-4018 Ext.,"MR Larry Adams, Department of HUSSMAN INSTITUTE FOR HUMAN GE"
clinical office assistant,Student Activities,11.00,11.00,10,20,"Student will provide clerical and general office support for staff on the Ocular Studies. The incumbant should be organized, detail oriented, and feel comfortable working in a team environment. Responsabilities, will include, gathering information for the study, preparing charts, assisting with correspondence and Maintaining the database, charts and files. This position is located on the Medical Campus. If interested, please contact Larry Adams Telephone number: 305-243-4018  E-mail: ladams4@med.miami.edu (02) ","330 Biomed Research Bldg, MSOM - Human Genetics 7 -STA, 1501 NW 10th Ave, Miami, FL 33136 1012",3052434018,"HUSSMAN INSTITUTE FOR HUMAN, Larry Adams"
